AddressInfo.Title,AddressInfo.Latitude,AddressInfo.Longitude,State,City,Max_Power_KW
"Adishakti Cars, Hebbal",13.04291,77.60927,Karnataka,Bengaluru,25.0
Sixth Gear Cars,13.046755410837209,77.59123644794158,Karnataka,Bengaluru,60.0
Orion Avenue,13.001137938818005,77.63254,Karnataka,Bengaluru,60.0
Gokulam Grand Hotel & Spa,13.04204,77.55465,Karnataka,Bengaluru,25.0
Elements Mall,13.04612,77.6269,Karnataka,Bengaluru,150.0
Jio BP Charging Hub Chikkagubbi ,13.08784814118694,77.66014774782752,Karnataka,Bengaluru,60.0
Jaguar Land Rover Cars Airport Road,13.11756,77.60923,Karnataka,Bengaluru,50.0
Jio BP Chikkajala,13.16554,77.62933,Karnataka,Bengaluru,60.0
Moxy Bengaluru Airport Prestige Tech Cloud,13.19211,77.64456,Karnataka,Bengaluru,30.0
Taj Bangalore,13.19736,77.71011,Karnataka,Bengaluru,60.0
GLIDA Charging Hub,13.18324,77.67608,Karnataka,Bengaluru,60.0
GAIL Gas Station -Tata Power,13.15341,77.72827,Karnataka,Bengaluru,30.0
Orion Uptown Mall,13.05515,77.7638,Karnataka,Bengaluru,60.0
Kia India Training Center,13.05242,77.74675,Karnataka,Bengaluru,150.0
ITC Gardenia Bengaluru,12.96728,77.59552,Karnataka,Bengaluru,30.0
Divyasree Chambers,12.96192,77.59922,Karnataka,Bengaluru,60.0
ibis Bengaluru City Centre,12.96751,77.5939,Karnataka,Bengaluru,60.0
Hotel Kadamba Veg,12.9019345,77.4689096,Karnataka,Bengaluru,24.0
ibis Bengaluru Hosur Road,12.90073,77.63203,Karnataka,Bengaluru,60.0
Blusmart Charging Station (HSR Hub),12.90212,77.64191,Karnataka,Bengaluru,60.0
"La Maison Citroën Hosur Road, Bengaluru",12.86308,77.65922,Karnataka,Bengaluru,60.0
JioBP Pulse Charging Hub - Electronic City Phase II,12.86462,77.67486,Karnataka,Bengaluru,60.0
Jio BP Chandapura,12.79284,77.72766,Karnataka,Bengaluru,60.0
Blusmart Charging Station Electronic City Phase 1,12.82734,77.65552,Karnataka,Bengaluru,60.0
Blusmart Charging Station (Gottigere Hub),12.85845,77.58721,Karnataka,Bengaluru,60.0
Shell Recharge Kanakapura Road,12.86276,77.53146,Karnataka,Bengaluru,120.0
Shell Recharge Yelachenahalli,12.89719,77.57071,Karnataka,Bengaluru,120.0
Shell Recharge Haralur,12.91293,77.66542,Karnataka,Bengaluru,120.0
Shell Recharge Marathahalli,12.94285,77.69782,Karnataka,Bengaluru,120.0
Shell Recharge Prestige Tech Park,12.94269,77.69235,Karnataka,Bengaluru,30.0
